A,"[(1, 6), (1, 7), (1, 8)]"
B,"[(4, 1), (3, 1)]"
C,"[(2, 6), (2, 7), (2, 8)]"
D,"[(8, 6), (7, 6), (6, 6)]"
E,"[(4, 4), (4, 5)]"
F,"[(3, 4), (2, 4), (1, 4)]"
G,"[(4, 7), (4, 8), (4, 9)]"
H,"[(3, 9), (2, 9), (1, 9)]"
I,"[(6, 1), (5, 1)]"
J,"[(7, 4), (6, 4)]"
K,"[(6, 7), (6, 8), (6, 9)]"
L,"[(7, 2), (7, 3)]"
M,"[(7, 7), (7, 8)]"
N,"[(4, 3), (3, 3), (2, 3)]"
O,"[(9, 4), (8, 4)]"
P,"[(9, 9), (8, 9), (7, 9)]"
Q,"[(8, 1), (7, 1)]"
R,"[(9, 1), (9, 2), (9, 3)]"
S,"[(8, 5), (7, 5)]"
T,"[(9, 5), (9, 6)]"
U,"[(9, 7), (9, 8)]"
X,"[(5, 8), (5, 9)]"
