51
"Runtime: 0 hours, 16 minutes and 56 seconds"
Runs: 500
Average moves: 5802.308
Least moves: 51
"Moves: [16161, 2099, 3350, 9586, 6312, 11300, 2635, 1300, 1173, 5087, 278, 5898, 16892, 7920, 5108, 4889, 29052, 3339, 10367, 11178, 5430, 5983, 11477, 8657, 2631, 311, 4808, 999, 10788, 770, 4361, 5373, 18035, 4105, 2990, 1805, 3027, 5847, 2623, 3256, 22411, 1176, 2292, 1931, 5339, 1364, 5138, 2737, 235, 1327, 1304, 367, 4522, 330, 8472, 3463, 974, 3180, 12418, 4244, 2860, 14837, 5403, 3069, 7069, 3677, 3185, 4248, 5852, 22817, 2575, 1430, 4156, 7548, 14057, 10363, 1578, 11541, 2755, 374, 386, 8696, 8760, 11515, 1258, 325, 1890, 295, 386, 16221, 5434, 4818, 3794, 1053, 2882, 465, 11557, 1007, 8351, 772, 12023, 4428, 9356, 3896, 1361, 6514, 2583, 5953, 5124, 3631, 33374, 1467, 2030, 2579, 8197, 798, 8628, 934, 7388, 11880, 8600, 861, 9619, 6473, 1375, 839, 2579, 16201, 409, 8931, 7813, 2310, 2377, 8039, 5117, 3915, 966, 1136, 1268, 5254, 4620, 4542, 504, 15926, 3404, 5914, 1140, 872, 13406, 5487, 1330, 3077, 1617, 3392, 894, 29352, 1480, 3897, 2395, 2692, 1990, 10392, 3557, 2810, 1229, 2051, 1330, 886, 2732, 663, 213, 8444, 4944, 6842, 2427, 373, 3466, 1666, 11671, 1164, 686, 3616, 741, 4809, 2153, 6089, 9820, 4349, 5972, 9082, 517, 4736, 1753, 4925, 8201, 1136, 25783, 1357, 6958, 13704, 5419, 1998, 5580, 14132, 8125, 14722, 5135, 1960, 3951, 1051, 5107, 757, 12929, 3206, 6477, 51, 15351, 14231, 6994, 10105, 11237, 2489, 3624, 2282, 12686, 4814, 2003, 7942, 4908, 6591, 1189, 4100, 799, 2943, 224, 3630, 15298, 10311, 5634, 921, 4257, 4969, 2503, 6270, 3271, 17024, 6426, 18184, 7905, 4517, 2449, 10491, 2587, 15323, 10321, 4690, 4628, 24371, 594, 7576, 4299, 11567, 3710, 734, 10759, 995, 4464, 3510, 4771, 3080, 409, 2264, 7420, 4288, 4788, 3405, 1205, 182, 2805, 6610, 916, 10932, 2068, 5880, 3810, 2501, 6288, 12191, 16126, 12062, 1970, 13581, 3592, 18825, 3916, 3036, 1077, 841, 15177, 1704, 10734, 3775, 2515, 2142, 8628, 13280, 6803, 7405, 2008, 3072, 623, 572, 3692, 10775, 6423, 3376, 2709, 2321, 7350, 16460, 1839, 10550, 18129, 4611, 9108, 2234, 11475, 666, 5418, 23119, 38693, 345, 1504, 14079, 2050, 7693, 16257, 2267, 3335, 2908, 12450, 8287, 6155, 4918, 6771, 2319, 19533, 10890, 52632, 1529, 2566, 23649, 3146, 13694, 3045, 4762, 230, 1501, 497, 4737, 2758, 10111, 1145, 349, 635, 1546, 10527, 476, 14925, 738, 2066, 1310, 8884, 2846, 11009, 9341, 1851, 3887, 3655, 9303, 3211, 9524, 13257, 9568, 7739, 5625, 4246, 751, 196, 4015, 1739, 11573, 6778, 5647, 2441, 21361, 4963, 6503, 1307, 6889, 11592, 10284, 1005, 4171, 4667, 2992, 1572, 7813, 2881, 5100, 4539, 7035, 360, 4195, 3048, 5389, 3743, 2423, 3462, 3629, 6410, 5315, 5208, 8410, 3832, 4144, 700, 2259, 8414, 8120, 3260, 2564, 10987, 3120, 468, 4646, 3269, 3278, 3063, 2372, 638, 4027, 1493, 3046, 1088, 13152, 549, 6387, 2208, 1068, 1606, 701, 4955, 541, 2560, 7449, 7260, 2109, 6671, 1779, 1437, 2375, 14439, 2723, 3121, 4614, 1181, 16347, 2369, 1934, 6445, 5702, 13274, 4605, 7779, 9625, 3368, 7058, 15663, 3692, 8514, 23923, 1009, 5313, 18258, 6058, 719, 3979, 2145, 8344, 6455, 9150, 4876, 5647, 2419, 3247, 5607, 6224, 6056, 3378]"
car,move
C,-1
F,-1
H,-1
L,-1
I,2
I,-1
A,-1
I,1
F,-1
X,1
I,-2
H,1
I,2
K,-1
H,1
D,1
X,-1
K,-1
L,-2
E,-1
D,2
D,-1
E,1
D,1
H,-1
I,-1
E,-1
I,-2
H,1
D,-1
D,-1
D,1
D,-1
D,2
D,-2
L,1
L,-1
L,3
D,1
K,1
X,3
X,-1
X,1
K,-1
D,1
D,-1
K,2
F,1
B,-1
K,-1
I,-1
