least,average,runs,runtime(sec)
1619,6639,5,10
469,5378,100,397
183,5170,100,401
406,5622,100,417
162,5783,100,416
234,5944,100,425
131,5620,100,416
193,6337,100,441
474,6522,100,448
291,6148,100,438
7165,13750,2,14
2924,10871,2,10
2217,5280,2,4
121,5766,1000,2346
2239,4032,2,3
131,5980,1000,2414
151,5978,1000,2414
173,6022,1000,2433
11286,14424,2,7
1560,2228,2,1
3420,6952,2,4
987,1428,2,1
1649,2594,2,1
89,3132,2,2
2664,5380,2,3
444,5841,100,145
101,101,100,3
2740,3888,2,2
1834,3132,2,2
102,5779,1000,1434
8912,10313,2,5
720,7477,5,9
998,4069,5,5
4731,9625,5,12
964,2634,5,3
115,4990,1000,1229
632,9938,5,13
1815,5772,5,7
1138,4654,5,5
2128,6775,5,8
865,6048,5,7
1780,2815,5,4
225,2120,5,3
1181,2765,5,4
1273,2730,5,4
285,2728,5,4
3302,3371,5,4
1708,2667,5,3
389,1945,5,2
991,2801,5,4
1935,3018,5,4
1940,3119,5,4
1033,1945,5,2
370,2517,10,7
1296,2634,10,7
321,2639,10,7
2315,3054,10,8
