130
"Runtime: 0 hours, 17 minutes and 56 seconds"
Runs: 300
Average moves: 1247.85
Least moves: 130
"Moves: [467, 1160, 3298, 1184, 1668, 2758, 935, 763, 260, 325, 449, 1746, 234, 1535, 845, 1221, 1350, 845, 412, 804, 197, 255, 1117, 1016, 1176, 3787, 267, 1144, 889, 1341, 561, 1082, 1237, 345, 1802, 1069, 1084, 1717, 2309, 631, 1650, 909, 3815, 2364, 693, 1987, 4018, 1751, 179, 388, 470, 1446, 936, 786, 232, 1005, 636, 1751, 3281, 1481, 3069, 1171, 1362, 173, 1607, 547, 4339, 1082, 677, 1188, 1678, 1908, 539, 835, 2646, 1738, 401, 385, 252, 929, 692, 247, 675, 656, 995, 1114, 1231, 242, 1383, 350, 1058, 1133, 532, 604, 1955, 2056, 1721, 744, 635, 3296, 2115, 363, 130, 302, 472, 3184, 1915, 398, 300, 4172, 186, 950, 534, 1675, 1032, 1068, 3224, 3552, 1563, 2208, 909, 556, 2760, 801, 395, 393, 1777, 481, 531, 541, 727, 2279, 2067, 1261, 728, 982, 629, 1674, 1378, 1083, 2793, 310, 1448, 1167, 2073, 231, 690, 598, 619, 4049, 598, 595, 2467, 1012, 2008, 3821, 1615, 199, 151, 481, 775, 2536, 1008, 2155, 848, 1791, 598, 855, 662, 882, 1367, 975, 3735, 3787, 1292, 1069, 712, 924, 1011, 277, 906, 1094, 945, 4324, 291, 1331, 1407, 324, 465, 1949, 774, 555, 3381, 1257, 2807, 2196, 332, 3587, 1470, 718, 271, 1237, 214, 497, 440, 1355, 1436, 5614, 180, 1424, 921, 532, 1549, 677, 3519, 1142, 573, 681, 1278, 517, 252, 534, 216, 455, 1055, 503, 464, 609, 678, 934, 1598, 890, 2137, 1066, 680, 348, 1774, 1017, 4198, 2719, 1183, 903, 1365, 868, 2017, 396, 1430, 428, 431, 474, 2134, 1402, 425, 335, 755, 428, 1199, 448, 1367, 1760, 1615, 1655, 195, 1094, 2492, 2064, 2457, 1017, 2016, 937, 5383, 252, 225, 921, 630, 170, 1274, 2104, 2064, 697, 400, 1991, 1249, 524, 1039, 643, 495, 733, 967, 1619, 550, 2190, 336, 338, 703, 532, 1375, 2314, 1498, 1165]"
car,move
A,-2
A,2
C,-1
X,-1
C,1
A,-2
X,-1
X,1
B,-2
B,2
C,-1
A,2
C,1
X,1
A,-1
A,1
X,-2
A,-2
B,-1
A,1
X,2
B,1
X,-2
B,-1
A,-1
X,2
X,-1
C,-1
X,-1
A,1
X,2
D,-1
X,-2
G,-1
H,-1
A,-1
F,1
F,1
X,1
K,-2
K,1
X,1
X,-1
L,-1
A,1
X,-1
L,-1
E,1
E,-1
E,1
X,1
L,1
L,1
L,-1
A,-1
B,-1
J,-1
B,1
B,-1
X,1
X,-2
X,1
J,1
E,-1
K,-1
L,1
I,-1
I,-1
B,1
L,-2
B,-1
G,-1
E,1
L,2
L,-1
E,-1
X,-1
I,-1
I,2
I,-2
X,1
L,-2
X,-1
K,1
X,3
X,-2
X,2
X,-1
X,-1
K,1
E,1
J,-2
X,1
I,-1
F,-1
H,2
I,1
G,1
B,2
X,-1
B,-2
X,1
G,-1
X,1
X,-2
L,-1
G,1
B,2
B,-2
L,1
H,-1
G,-1
L,-1
X,1
X,1
L,1
H,-1
I,-1
H,2
H,1
L,-1
I,1
H,-3
I,-1
H,1
L,1
H,-1
H,3
X,-2
X,3
