1067
"Runtime: 1 hours, 15 minutes and 14 seconds"
Runs: 1000
Average moves: 1178.335
Least moves: 1067
"Moves: [1182, 1178, 1208, 1188, 1212, 1163, 1170, 1175, 1279, 1140, 1220, 1182, 1166, 1256, 1212, 1172, 1180, 1183, 1151, 1157, 1176, 1189, 1249, 1157, 1134, 1184, 1158, 1147, 1203, 1137, 1241, 1227, 1179, 1163, 1148, 1195, 1232, 1159, 1154, 1186, 1203, 1195, 1216, 1214, 1199, 1198, 1147, 1213, 1183, 1181, 1249, 1203, 1134, 1135, 1186, 1238, 1224, 1167, 1145, 1166, 1127, 1215, 1181, 1204, 1131, 1188, 1194, 1118, 1207, 1177, 1165, 1134, 1201, 1174, 1124, 1167, 1168, 1225, 1153, 1150, 1176, 1150, 1135, 1145, 1188, 1182, 1155, 1152, 1196, 1145, 1153, 1224, 1215, 1172, 1190, 1168, 1209, 1109, 1201, 1172, 1240, 1202, 1210, 1127, 1170, 1155, 1109, 1169, 1158, 1213, 1155, 1103, 1195, 1167, 1193, 1276, 1153, 1184, 1170, 1193, 1144, 1180, 1120, 1162, 1103, 1177, 1159, 1183, 1128, 1151, 1177, 1221, 1169, 1153, 1236, 1146, 1182, 1230, 1230, 1150, 1150, 1171, 1198, 1126, 1196, 1108, 1092, 1221, 1191, 1199, 1067, 1187, 1229, 1167, 1245, 1118, 1160, 1177, 1122, 1099, 1165, 1193, 1156, 1225, 1123, 1153, 1208, 1133, 1175, 1136, 1191, 1192, 1291, 1202, 1194, 1193, 1144, 1145, 1107, 1176, 1196, 1202, 1157, 1187, 1189, 1229, 1229, 1195, 1132, 1139, 1211, 1149, 1185, 1141, 1178, 1234, 1167, 1149, 1151, 1129, 1181, 1151, 1227, 1180, 1179, 1172, 1192, 1089, 1192, 1112, 1166, 1206, 1199, 1204, 1227, 1165, 1212, 1243, 1281, 1179, 1191, 1164, 1212, 1180, 1219, 1208, 1214, 1148, 1247, 1145, 1138, 1160, 1211, 1185, 1187, 1153, 1156, 1139, 1157, 1185, 1174, 1173, 1149, 1189, 1155, 1154, 1116, 1169, 1137, 1135, 1150, 1166, 1166, 1188, 1231, 1193, 1160, 1226, 1142, 1143, 1207, 1151, 1143, 1162, 1162, 1151, 1071, 1200, 1147, 1162, 1114, 1188, 1182, 1121, 1231, 1176, 1220, 1220, 1155, 1193, 1154, 1236, 1123, 1216, 1170, 1177, 1214, 1128, 1188, 1215, 1159, 1148, 1192, 1135, 1256, 1208, 1197, 1176, 1154, 1220, 1168, 1178, 1176, 1134, 1219, 1206, 1204, 1188, 1200, 1215, 1197, 1151, 1124, 1126, 1250, 1226, 1156, 1201, 1205, 1190, 1171, 1120, 1180, 1213, 1203, 1131, 1157, 1180, 1252, 1127, 1204, 1253, 1173, 1228, 1210, 1192, 1186, 1228, 1147, 1160, 1191, 1187, 1102, 1203, 1150, 1262, 1205, 1175, 1171, 1214, 1209, 1205, 1155, 1153, 1184, 1160, 1150, 1203, 1173, 1222, 1175, 1200, 1214, 1116, 1203, 1118, 1177, 1156, 1180, 1192, 1171, 1142, 1143, 1112, 1152, 1171, 1186, 1233, 1127, 1178, 1175, 1175, 1214, 1191, 1208, 1173, 1153, 1192, 1190, 1112, 1116, 1154, 1140, 1121, 1248, 1186, 1173, 1162, 1230, 1174, 1129, 1210, 1220, 1189, 1194, 1197, 1174, 1211, 1216, 1244, 1182, 1198, 1207, 1153, 1192, 1207, 1203, 1168, 1205, 1210, 1146, 1198, 1165, 1208, 1190, 1167, 1262, 1125, 1097, 1164, 1166, 1218, 1148, 1151, 1114, 1190, 1193, 1134, 1206, 1186, 1176, 1227, 1189, 1133, 1273, 1172, 1177, 1159, 1241, 1198, 1140, 1157, 1179, 1163, 1208, 1177, 1195, 1182, 1249, 1181, 1152, 1242, 1206, 1189, 1246, 1221, 1196, 1124, 1149, 1174, 1171, 1176, 1176, 1126, 1215, 1164, 1202, 1213, 1177, 1196, 1192, 1235, 1177, 1125, 1101, 1219, 1152, 1264, 1205, 1199, 1176, 1190, 1133, 1157, 1204, 1195, 1203, 1218, 1193, 1213, 1202, 1242, 1148, 1204, 1175, 1157, 1193, 1235, 1205, 1198, 1187, 1201, 1187, 1220, 1150, 1129, 1243, 1194, 1202, 1169, 1188, 1158, 1183, 1185, 1141, 1188, 1203, 1142, 1112, 1167, 1182, 1205, 1205, 1144, 1174, 1173, 1214, 1250, 1188, 1147, 1147, 1160, 1221, 1178, 1176, 1204, 1106, 1140, 1229, 1196, 1166, 1148, 1103, 1160, 1221, 1181, 1164, 1204, 1203, 1075, 1167, 1150, 1213, 1208, 1178, 1182, 1115, 1160, 1161, 1158, 1198, 1148, 1173, 1132, 1139, 1208, 1152, 1144, 1170, 1136, 1188, 1203, 1137, 1117, 1224, 1159, 1123, 1180, 1137, 1233, 1133, 1168, 1180, 1108, 1137, 1165, 1108, 1135, 1166, 1214, 1218, 1176, 1230, 1126, 1172, 1162, 1205, 1187, 1212, 1186, 1174, 1183, 1197, 1153, 1266, 1141, 1193, 1180, 1174, 1177, 1175, 1119, 1163, 1147, 1161, 1203, 1109, 1175, 1136, 1133, 1175, 1171, 1224, 1156, 1220, 1154, 1166, 1184, 1230, 1177, 1095, 1173, 1137, 1150, 1221, 1148, 1083, 1159, 1122, 1188, 1146, 1168, 1154, 1189, 1126, 1183, 1183, 1184, 1161, 1199, 1185, 1172, 1151, 1148, 1235, 1174, 1223, 1167, 1183, 1189, 1113, 1222, 1126, 1186, 1155, 1175, 1143, 1135, 1202, 1169, 1179, 1177, 1190, 1207, 1189, 1155, 1161, 1178, 1220, 1225, 1153, 1160, 1154, 1155, 1150, 1146, 1193, 1208, 1175, 1204, 1167, 1218, 1165, 1223, 1167, 1189, 1161, 1179, 1141, 1189, 1193, 1212, 1265, 1166, 1159, 1205, 1206, 1187, 1195, 1195, 1139, 1210, 1170, 1209, 1198, 1206, 1224, 1171, 1229, 1232, 1155, 1138, 1206, 1229, 1230, 1207, 1203, 1156, 1155, 1205, 1210, 1155, 1233, 1134, 1192, 1182, 1135, 1199, 1136, 1227, 1223, 1182, 1209, 1139, 1190, 1182, 1211, 1212, 1212, 1148, 1167, 1120, 1209, 1161, 1177, 1199, 1129, 1169, 1169, 1160, 1140, 1135, 1165, 1177, 1239, 1176, 1209, 1193, 1213, 1252, 1177, 1196, 1183, 1139, 1248, 1190, 1221, 1146, 1214, 1211, 1204, 1215, 1162, 1189, 1200, 1181, 1174, 1258, 1171, 1173, 1184, 1166, 1192, 1225, 1211, 1112, 1202, 1116, 1170, 1223, 1144, 1193, 1225, 1190, 1157, 1239, 1241, 1196, 1173, 1191, 1189, 1214, 1160, 1159, 1189, 1230, 1190, 1124, 1100, 1149, 1215, 1197, 1163, 1121, 1206, 1181, 1180, 1226, 1190, 1192, 1160, 1202, 1105, 1215, 1243, 1144, 1120, 1152, 1173, 1220, 1114, 1186, 1212, 1115, 1194, 1194, 1204, 1167, 1185, 1192, 1179, 1144, 1164, 1195, 1163, 1215, 1144, 1142, 1169, 1293, 1169, 1183, 1181, 1226, 1206, 1237, 1169, 1164, 1195, 1179, 1173, 1122, 1183, 1168, 1168, 1158, 1192, 1155, 1107, 1157, 1149, 1221, 1095, 1134, 1176, 1097, 1163, 1101, 1195, 1235, 1147, 1207, 1201, 1167, 1211, 1195, 1189, 1197, 1161, 1168, 1115, 1112, 1165, 1132, 1147, 1163, 1181, 1200, 1225, 1190, 1122, 1195, 1218, 1167, 1178, 1194, 1166, 1146, 1166, 1239, 1161, 1211, 1149, 1252, 1161, 1142, 1232, 1155, 1166, 1178, 1173, 1117, 1249, 1239, 1199, 1149, 1197, 1149, 1171, 1155, 1215, 1193, 1219, 1178, 1212, 1167, 1186, 1193, 1117, 1210, 1204, 1189, 1150, 1230, 1195, 1189, 1242, 1091, 1202, 1214, 1179, 1206, 1188, 1199, 1176, 1145, 1219, 1188, 1175, 1220, 1131, 1160, 1145, 1128, 1179, 1199, 1210, 1189, 1174, 1196, 1131, 1189, 1210, 1182, 1230, 1102, 1162, 1109, 1133, 1128]"
car,move
W,-1
J,1
T,-1
W,1
M,1
W,-1
Y,-1
K,1
M,-1
G,1
M,1
Y,1
W,1
T,1
T,-1
T,1
M,-1
M,1
T,-1
W,-1
W,1
M,-1
T,1
Q,1
M,1
Q,-1
W,-1
W,1
T,-1
W,-1
M,-1
Y,-1
Y,1
Y,-1
T,1
Y,1
Y,-1
M,1
T,-1
M,-1
M,1
M,-1
Y,1
Y,-1
M,1
T,1
Q,1
Y,1
Q,-1
Y,-1
Y,1
Q,1
Q,-1
W,1
W,-1
Q,1
Y,-1
M,-1
M,1
M,-1
Y,1
W,1
M,1
M,-1
Q,-1
M,1
T,-1
T,1
M,-1
Q,1
M,1
Q,-1
T,-1
M,-1
W,-1
W,1
W,-1
W,1
W,-1
W,1
M,1
M,-1
T,1
M,1
W,-1
T,-1
T,1
M,-1
T,-1
W,1
T,1
M,1
T,-1
W,-1
M,-1
T,1
W,1
W,-1
Q,1
M,1
Y,-1
Y,1
M,-1
M,1
M,-1
Y,-1
Y,1
M,1
Y,-1
Y,1
Y,-1
Q,-1
Q,1
M,-1
Q,-1
Q,1
M,1
Q,-1
Q,1
Y,1
Q,-1
W,1
Q,1
M,-1
W,-1
Y,-1
Q,-1
Q,1
Y,1
W,1
W,-1
W,1
M,1
W,-1
Q,-1
Q,1
M,-1
W,1
W,-1
W,1
M,1
Q,-1
Q,1
M,-1
Q,-1
Q,1
W,-1
Y,-1
Q,-1
M,1
Q,1
Y,1
Q,-1
M,-1
Q,1
M,1
Y,-1
Y,1
Q,-1
T,-1
M,-1
W,1
M,1
W,-1
Y,-1
T,1
Q,1
Y,1
Q,-1
Y,-1
M,-1
T,-1
T,1
T,-1
T,1
Q,1
M,1
Q,-1
Q,1
Q,-1
T,-1
Y,1
T,1
W,1
T,-1
T,1
T,-1
T,1
T,-1
W,-1
M,-1
W,1
W,-1
Y,-1
Y,1
T,1
M,1
Y,-1
T,-1
T,1
Q,1
M,-1
Q,-1
Q,1
M,1
Q,-1
T,-1
M,-1
Y,1
M,1
Y,-1
Y,1
W,1
T,1
W,-1
W,1
M,-1
M,1
T,-1
M,-1
T,1
Q,1
W,-1
Y,-1
Q,-1
T,-1
M,1
Y,1
Y,-1
Y,1
W,1
W,-1
Y,-1
M,-1
T,1
Y,1
Y,-1
T,-1
M,1
M,-1
M,1
T,1
M,-1
T,-1
Y,1
Y,-1
T,1
M,1
Y,1
T,-1
W,1
W,-1
W,1
M,-1
T,1
M,1
T,-1
M,-1
M,1
T,1
T,-1
T,1
Q,1
W,-1
Y,-1
M,-1
M,1
Q,-1
Y,1
Y,-1
Q,1
M,-1
Q,-1
M,1
Q,1
Q,-1
Q,1
Q,-1
M,-1
T,-1
T,1
Q,1
Q,-1
M,1
M,-1
T,-1
Y,1
Y,-1
T,1
M,1
T,-1
M,-1
M,1
T,1
Q,1
M,-1
Y,1
Y,-1
Q,-1
M,1
T,-1
T,1
M,-1
Q,1
Y,1
W,1
W,-1
Q,-1
Q,1
W,1
Q,-1
M,1
W,-1
M,-1
T,-1
W,1
M,1
M,-1
T,1
M,1
W,-1
M,-1
M,1
T,-1
Y,-1
T,1
T,-1
M,-1
M,1
M,-1
T,1
M,1
Y,1
Q,1
W,1
Q,-1
M,-1
T,-1
M,1
M,-1
M,1
M,-1
W,-1
T,1
Y,-1
Q,1
Q,-1
M,1
T,-1
M,-1
M,1
M,-1
Y,1
M,1
Y,-1
M,-1
T,1
Y,1
Q,1
Y,-1
M,1
M,-1
M,1
Y,1
Q,-1
M,-1
Q,1
Q,-1
T,-1
M,1
W,1
M,-1
M,1
M,-1
W,-1
Y,-1
M,1
Y,1
M,-1
W,1
M,1
T,1
W,-1
M,-1
W,1
T,-1
M,1
T,1
W,-1
Q,1
W,1
Q,-1
M,-1
W,-1
W,1
M,1
M,-1
Q,1
Q,-1
Q,1
M,1
W,-1
Y,-1
Y,1
Q,-1
Y,-1
Y,1
Q,1
M,-1
M,1
W,1
Q,-1
W,-1
M,-1
T,-1
W,1
W,-1
W,1
W,-1
M,1
T,1
M,-1
W,1
T,-1
W,-1
Y,-1
M,1
Y,1
M,-1
W,1
W,-1
M,1
Y,-1
M,-1
Y,1
M,1
M,-1
T,1
W,1
W,-1
T,-1
M,1
T,1
Y,-1
T,-1
M,-1
Y,1
Y,-1
T,1
Q,1
Q,-1
Q,1
M,1
Y,1
M,-1
W,1
Q,-1
Q,1
Q,-1
T,-1
M,1
M,-1
T,1
T,-1
M,1
T,1
W,-1
T,-1
Y,-1
Y,1
Y,-1
Y,1
M,-1
W,1
W,-1
T,1
Y,-1
M,1
Y,1
T,-1
M,-1
T,1
Q,1
W,1
W,-1
Y,-1
M,1
Q,-1
Y,1
W,1
T,-1
T,1
W,-1
T,-1
M,-1
Y,-1
Y,1
M,1
T,1
M,-1
Y,-1
T,-1
Y,1
M,1
M,-1
W,1
M,1
W,-1
M,-1
W,1
W,-1
T,1
Y,-1
M,1
Q,1
M,-1
M,1
Q,-1
Q,1
M,-1
Q,-1
Q,1
M,1
Y,1
M,-1
Y,-1
Y,1
M,1
Y,-1
Y,1
M,-1
M,1
Q,-1
Y,-1
T,-1
Y,1
M,-1
W,1
M,1
M,-1
W,-1
Y,-1
M,1
M,-1
M,1
T,1
M,-1
M,1
M,-1
M,1
Y,1
M,-1
W,1
W,-1
Y,-1
M,1
Q,1
Y,1
Y,-1
Y,1
Y,-1
Q,-1
T,-1
T,1
Q,1
Q,-1
Q,1
M,-1
M,1
M,-1
M,1
Y,1
M,-1
Q,-1
Q,1
W,1
Q,-1
W,-1
T,-1
Y,-1
Y,1
W,1
T,1
M,1
M,-1
Q,1
M,1
Q,-1
M,-1
M,1
M,-1
M,1
Q,1
Q,-1
Q,1
W,-1
W,1
M,-1
Q,-1
W,-1
W,1
M,1
T,-1
M,-1
W,-1
T,1
Q,1
Q,-1
Y,-1
Y,1
Y,-1
Y,1
W,1
W,-1
Q,1
Q,-1
Q,1
Y,-1
Y,1
Q,-1
W,1
W,-1
W,1
T,-1
M,1
T,1
M,-1
T,-1
W,-1
W,1
W,-1
T,1
T,-1
Y,-1
M,1
T,1
Q,1
M,-1
Y,1
Q,-1
T,-1
M,1
M,-1
T,1
W,1
W,-1
Q,1
M,1
Y,-1
Y,1
M,-1
W,1
M,1
W,-1
W,1
M,-1
W,-1
Y,-1
Y,1
Y,-1
Q,-1
T,-1
T,1
T,-1
M,1
M,-1
Y,1
T,1
Y,-1
Q,1
Y,1
Q,-1
T,-1
Y,-1
Y,1
W,1
W,-1
W,1
T,1
M,1
W,-1
Q,1
W,1
Q,-1
W,-1
M,-1
Q,1
W,1
M,1
W,-1
Q,-1
Y,-1
Q,1
Y,1
Q,-1
Q,1
W,1
M,-1
Q,-1
M,1
T,-1
T,1
M,-1
T,-1
W,-1
M,1
T,1
W,1
W,-1
Q,1
Y,-1
Y,1
Y,-1
Q,-1
M,-1
Q,1
M,1
M,-1
M,1
Y,1
Y,-1
Q,-1
Q,1
M,-1
Q,-1
M,1
Q,1
M,-1
M,1
M,-1
Y,1
Q,-1
M,1
Q,1
Y,-1
M,-1
Y,1
W,1
Q,-1
W,-1
W,1
Q,1
M,1
W,-1
M,-1
W,1
W,-1
M,1
M,-1
Y,-1
M,1
M,-1
Y,1
W,1
Q,-1
T,-1
T,1
W,-1
W,1
M,1
Q,1
Q,-1
T,-1
M,-1
M,1
W,-1
Y,-1
Y,1
T,1
M,-1
T,-1
T,1
Q,1
Q,-1
T,-1
M,1
W,1
T,1
W,-1
M,-1
T,-1
Y,-1
M,1
Y,1
T,1
M,-1
W,1
M,1
M,-1
T,-1
W,-1
Y,-1
Y,1
T,1
Y,-1
Q,1
Y,1
Q,-1
T,-1
Y,-1
M,1
T,1
Q,1
M,-1
Q,-1
Q,1
M,1
M,-1
Q,-1
Q,1
Y,1
M,1
W,1
Q,-1
T,-1
W,-1
M,-1
T,1
T,-1
W,1
M,1
W,-1
W,1
M,-1
T,1
W,-1
W,1
M,1
M,-1
M,1
M,-1
T,-1
W,-1
W,1
T,1
W,-1
Q,1
M,1
