2069
"Runtime: 0 hours, 18 minutes and 37 seconds"
Runs: 50
Average moves: 3217.18
Least moves: 2069
"Moves: [2862, 3265, 2977, 3196, 3821, 3252, 3122, 2897, 3134, 2930, 3133, 3163, 3386, 3043, 3493, 3173, 3920, 3234, 3598, 3504, 3646, 3537, 2860, 3085, 3085, 3475, 2982, 3549, 2069, 3162, 3030, 3136, 3595, 3089, 3132, 3042, 3334, 3256, 3221, 3140, 2903, 2985, 3031, 3684, 3150, 3479, 3134, 3918, 2907, 3140]"
car,move
AL,-1
AL,1
G,-1
AA,-1
L,1
AF,-1
AP,-1
AB,-1
AC,-1
N,-1
AJ,-1
L,-1
H,1
J,4
J,-1
AC,1
AG,-1
AJ,1
J,-1
J,-2
J,1
J,-1
AC,-3
AG,1
J,3
M,1
AG,-1
P,1
J,-2
J,2
AP,-1
J,-2
AB,1
J,2
AP,-1
L,1
L,-1
AJ,-1
AP,1
AK,-2
AB,2
AH,1
L,1
AK,1
AP,1
AB,-3
AC,1
AO,-2
AL,-1
AO,2
AP,-2
AM,-1
AQ,-1
AM,1
AH,-1
AK,-1
AA,1
AP,2
AH,2
AH,-1
AG,1
K,1
AP,-1
AA,-4
AF,1
AL,1
M,-1
AH,-1
AP,-1
AF,-1
AE,1
AQ,1
AH,1
AA,1
AE,-1
AA,3
AD,1
AP,2
AA,-3
AP,-2
H,-1
AF,1
M,1
AJ,2
AJ,-1
AF,-1
AG,-1
H,1
AA,-1
AD,-1
AK,2
AA,3
AG,1
AA,-3
P,-1
AN,-1
AM,2
P,1
AK,-1
AM,1
AA,2
AH,-1
AP,2
AC,1
AC,-1
AL,1
AC,-1
AA,-1
AH,1
AH,-1
AQ,-1
AB,1
AP,-3
AA,1
AL,2
AB,-1
J,1
K,-1
AG,1
M,-1
P,1
AA,1
AL,-2
K,1
AL,-2
AM,-4
AH,1
AA,-1
P,-1
AQ,1
AM,3
AJ,-1
U,-1
H,-1
AJ,3
AM,-2
AM,-1
AD,1
P,1
U,1
AA,-1
H,1
AO,-1
AM,4
AM,-4
AB,1
AM,1
AM,2
AM,-1
AH,1
AA,-2
AD,-1
AI,-1
P,-2
AP,-1
M,1
J,-1
AI,-2
AM,1
AO,1
AI,2
AK,-1
AM,1
AK,1
AJ,-3
AO,-1
AD,1
AK,-1
AM,-3
AQ,-1
AD,-1
AM,2
AD,1
AI,-2
AI,3
AG,1
AH,-1
AD,-1
AL,3
AD,1
AL,-3
AM,-2
AB,-1
AM,3
AC,1
K,-1
L,-1
J,-1
AL,2
AM,1
AM,-1
AL,1
AM,2
AD,-1
M,-1
AK,-1
AD,1
AP,1
AH,1
J,-2
AL,2
J,2
AI,-1
P,1
AM,-1
AD,-1
AC,-1
P,-1
AC,1
AM,2
AG,-2
AL,-1
AL,-1
AQ,-2
AL,1
AM,-2
AL,1
AP,3
J,-2
AP,-2
AQ,2
AP,3
AC,1
AC,-2
AI,-2
AP,-5
AE,-1
AC,1
AP,3
AP,1
AC,-1
AC,3
AK,-2
AC,-1
AQ,-1
AQ,-3
AL,-1
N,1
AP,1
AQ,5
AK,5
AM,-1
AP,-1
J,1
J,-1
AM,1
J,1
J,1
J,-2
J,4
AI,3
G,1
AM,-1
AK,-1
AH,-1
G,-1
J,-4
AM,1
AN,1
G,1
AQ,-1
L,1
AF,1
AL,-3
AL,2
AF,-1
AE,1
AK,-3
AC,-1
K,1
AQ,-1
AE,1
AC,1
AH,-1
P,1
AQ,2
AK,1
AQ,-2
AQ,1
AA,3
AC,1
AC,-3
AB,1
AL,-3
AK,-1
AA,-2
AP,-3
AA,-1
AQ,1
AH,2
AK,4
AP,3
P,-1
AK,-2
G,-1
AH,-1
AM,1
AK,-2
AE,-2
AB,-1
AF,1
F,1
AC,1
E,1
P,1
AK,4
AK,-4
P,-1
AQ,-3
AF,-1
AQ,2
AL,1
AP,-1
AL,-1
AP,-2
Q,-1
AP,2
AG,-2
AA,1
AQ,-3
AH,1
AP,-2
AI,-1
AP,3
Q,1
AA,-1
AP,-2
AP,-2
AP,3
AP,-1
AM,-1
AI,1
AH,-1
AP,2
AP,1
E,-1
AO,-1
AH,1
AC,1
AQ,3
AI,-2
E,1
E,-1
AC,-2
AP,-4
F,-1
AP,2
AK,2
N,-1
AQ,-1
AP,2
M,1
AP,-5
AO,1
AP,4
AO,-1
P,1
AB,1
AK,-1
AQ,1
AQ,1
AI,-1
AA,3
AK,3
AB,-1
AK,-1
AK,-2
AG,1
AI,1
AQ,-1
AC,2
AQ,1
AA,2
AP,1
AQ,-3
AA,-1
AO,1
P,-1
K,-1
AG,-1
AI,2
AC,-1
AQ,1
M,-1
AP,-1
AQ,2
U,-1
AP,-4
AQ,-1
AC,2
AO,-1
H,-1
AQ,-1
AG,1
AM,2
AK,-1
AB,1
H,1
AB,-1
AK,1
K,1
AC,-2
AC,-1
AO,-1
AP,1
P,2
AP,3
AI,-2
U,1
AG,-1
AO,2
AG,1
AA,-4
AI,-1
AG,1
U,-1
AF,1
AA,1
AM,-2
U,1
AQ,-1
P,-2
AP,-3
O,1
AQ,1
AP,3
AP,-4
D,1
AG,1
A,-1
AM,1
AA,-1
AI,3
AC,1
AI,-1
AQ,1
AM,-1
AM,1
B,-1
K,-1
AC,1
AG,-1
B,1
AI,1
AI,-1
AQ,-1
AC,-2
AI,-1
AP,2
P,1
AI,2
N,1
K,1
P,1
AP,-1
AA,4
AP,1
AA,-4
AH,-1
N,-1
AM,-1
AL,1
AA,4
N,1
AQ,1
AC,1
AK,1
AL,-1
G,1
AK,-1
AP,2
AM,1
AA,-1
AQ,1
AM,-1
B,-1
B,1
AP,-3
AL,4
AL,-3
AG,2
AQ,-1
G,-1
AA,2
AL,3
H,-1
G,1
AL,-4
H,1
AA,-5
AL,4
AA,6
A,-4
AA,-6
AG,-1
K,-1
G,-1
AL,-4
AL,2
D,-1
AK,1
B,-2
AA,-1
AG,1
B,2
D,1
B,-1
AG,-1
AC,-1
F,1
B,-1
AK,1
B,2
AK,-2
AM,2
P,-2
AP,-1
AC,3
AE,1
AC,-1
AK,1
F,-1
D,-1
AL,-1
F,2
AA,1
AG,1
AG,-1
AE,-1
B,-3
F,-1
AM,-1
AG,1
L,-1
AL,1
AM,-1
AE,1
J,2
A,-1
AL,-1
AE,-1
B,1
J,1
J,-4
I,-1
AK,-2
AK,-1
AL,3
AE,1
A,1
AH,1
AD,1
AM,1
AM,-1
AK,1
AK,2
AL,-1
AM,2
E,1
AM,-2
AI,-1
H,2
A,-1
AG,-1
AK,-3
AQ,-1
AK,1
AQ,-2
AC,-2
E,-1
AI,-1
AM,2
AC,1
AA,-1
F,4
F,-1
AK,-1
E,2
E,2
R,-1
AQ,-1
E,-2
N,-1
H,-1
AC,2
AI,1
R,-1
AC,-2
AQ,2
AC,-1
AL,1
N,1
AQ,-2
AQ,1
E,1
AM,-2
Q,-1
AD,-1
Q,1
Q,-1
AQ,1
AG,-1
D,1
D,-1
J,1
M,-1
AD,1
X,-2
AL,-1
AC,2
D,1
W,-1
AI,-2
AI,3
J,-1
D,-1
AK,1
X,1
Q,1
AI,-3
AI,3
V,1
AL,1
C,1
AD,-1
AI,-1
V,-1
AK,-1
AI,-2
AG,1
F,-1
AI,2
AL,-1
Y,-1
AM,2
AE,-1
AC,-2
U,5
N,2
U,-2
AL,1
H,-1
AC,1
N,1
AI,-2
AQ,-1
I,1
AK,-1
AP,1
AM,-1
AK,2
AM,-1
A,1
AK,-1
N,-1
AQ,-1
AQ,3
AK,3
P,1
M,1
J,2
AC,-1
AG,-1
B,1
P,-1
AK,-1
U,1
N,1
AC,1
J,1
AP,4
A,-1
J,-3
AG,1
J,2
A,-1
AC,2
B,-1
U,-1
AC,-3
U,1
AE,1
B,1
AE,-1
AC,2
AK,1
A,1
N,-3
AI,1
AK,-1
AQ,-1
AC,-2
U,-3
AI,1
AB,1
B,-1
U,3
U,-3
AQ,3
U,1
AK,3
AB,-1
C,-1
J,2
AI,1
U,-2
AL,-1
Q,-1
J,-1
U,1
I,-1
AL,1
Q,1
AL,-1
AG,-1
AG,1
AI,-1
I,1
AI,-2
J,-2
J,-1
AG,-1
J,3
AK,-2
AI,2
B,2
U,1
AQ,-1
B,-1
Q,-1
E,-1
N,2
AP,-1
AI,1
AM,2
B,-1
G,2
AP,-2
AI,-3
AP,-2
I,-1
AK,1
N,-1
AK,-2
AL,1
AQ,-2
AI,3
A,2
AB,1
R,1
AP,1
A,-2
AP,3
H,2
U,-1
X,-1
P,1
H,-1
U,1
J,-1
AQ,1
J,-2
P,-1
A,2
X,1
AP,-4
H,-1
AL,-1
G,-1
AQ,1
I,1
I,-1
AQ,-2
AI,-1
N,1
AK,-1
A,-2
AI,1
R,-1
X,-1
AM,-1
H,2
AI,-2
AK,1
M,1
U,1
AK,-2
AQ,-1
AK,1
L,1
H,-1
H,-1
AG,1
AQ,3
H,2
AG,1
AP,1
M,-2
AL,1
AM,1
Y,1
AB,-1
F,2
Y,-1
A,2
K,1
P,1
A,-1
O,-1
AK,2
AM,-1
U,-1
X,1
G,1
F,-1
O,1
AK,-1
R,-1
G,-1
R,1
AB,1
AK,-1
AM,-1
N,-1
X,-1
U,2
Y,1
K,-1
AK,1
X,1
AI,-1
T,-1
AM,2
AG,-1
Y,-1
P,-1
AQ,-1
R,-1
AG,-1
AL,-1
AP,3
O,-1
AK,-1
AK,1
G,-1
O,1
R,1
AI,1
AM,-1
R,-1
E,2
AK,1
AI,1
N,-1
AP,-1
AM,1
AM,-1
AP,-1
E,-1
AI,-2
O,-1
AE,1
F,1
L,-1
N,1
AQ,1
AP,-1
AG,1
AQ,1
AL,1
AK,1
AF,-1
AL,-1
P,2
N,2
AE,2
P,-2
AM,-1
AK,-2
AG,1
AD,2
AB,-1
Q,1
R,1
P,2
T,1
AE,-1
E,-1
A,-1
AD,-2
N,-2
G,2
AD,1
AQ,-1
AG,-2
AM,1
AC,1
AP,3
T,-1
U,1
AI,2
AQ,-1
N,2
AK,1
G,-1
AP,-1
N,-2
G,-1
AA,1
N,2
T,-1
B,-1
L,1
G,3
AM,-1
AI,1
K,1
AQ,1
AA,1
AD,1
AI,-3
AI,1
AD,-1
A,2
Q,-1
AC,-1
AD,-1
T,2
AA,3
U,-1
R,-1
AE,-1
G,-1
AF,1
AM,1
AA,-4
AD,1
AA,1
M,2
AC,1
AA,3
AA,-4
A,-1
AQ,-1
G,-1
AA,2
X,-1
AF,-1
M,-2
AA,3
U,1
AP,-2
K,-1
AD,-1
R,1
N,-2
AM,-1
AP,4
AE,-1
AA,-2
AA,1
AP,-4
P,-2
AP,1
AI,2
AP,2
AQ,1
AC,1
L,-1
AP,1
AK,1
Y,1
AN,-1
AK,-1
Y,-1
N,2
AE,1
AK,-2
M,2
G,-1
N,-1
AK,-1
AM,-1
AC,-2
R,-1
AD,1
AP,-4
AB,1
AP,1
AQ,-2
AQ,3
G,2
AI,-3
AM,2
G,-1
AM,-2
AI,1
AP,-1
AI,-1
P,1
AI,3
Y,1
W,1
AQ,-2
W,-1
AI,-3
A,1
AQ,-3
AQ,1
AM,1
AQ,4
F,-1
Y,-1
AM,1
AP,1
A,-1
AK,1
AK,-1
AP,-1
AB,-1
AI,2
AK,5
A,1
AA,-1
AC,1
B,1
P,1
M,-1
G,1
AK,-3
R,1
AG,1
H,-1
AM,-2
L,1
AA,1
AA,1
U,-1
A,-2
AA,-1
AQ,-3
AM,-1
X,1
H,1
A,1
G,1
K,1
Y,1
B,-1
AI,-1
AA,1
AQ,2
AK,2
G,-1
AI,1
AK,-1
AD,-1
M,-1
AK,1
AE,-1
G,1
AE,1
AK,-2
K,-1
AD,1
AD,-1
AQ,-1
T,-1
AA,-2
F,1
AM,4
X,-1
A,-1
B,1
AI,-1
AN,1
T,1
K,1
AQ,-1
G,-2
AA,1
AA,1
G,1
M,1
AE,2
AA,-5
M,-1
AA,-1
G,-2
E,1
AA,2
AD,3
AQ,1
AC,-1
AL,1
N,-2
AA,-2
N,1
P,-1
Y,-1
AI,-1
K,-1
A,1
N,1
T,-2
AI,2
R,-1
AL,-1
L,-1
R,1
AA,1
B,-1
E,-1
X,1
E,1
AK,-2
P,-1
N,-1
AD,-2
AK,2
U,1
T,1
AI,-2
AP,-1
AP,1
A,-1
U,-1
AM,-2
E,-1
AE,-2
AQ,1
X,-1
L,1
G,2
AI,1
AG,-1
AC,1
AN,-1
AK,-1
G,-2
T,1
AL,2
L,-1
N,-2
N,4
AD,-1
T,-2
AD,1
AP,1
T,1
N,-3
P,1
AQ,-2
AQ,3
P,-1
AP,2
L,1
X,1
N,1
AC,2
Y,1
AD,-1
T,1
AQ,-2
AL,-1
AQ,1
K,1
AQ,1
P,1
T,-1
AC,-3
AK,3
AM,-1
AP,1
AA,3
AB,1
AK,-1
AA,-3
AE,-1
AK,-2
Q,1
AK,4
K,-1
B,1
AK,-3
AP,-3
G,2
AP,3
AQ,-1
W,1
AQ,-1
L,-1
AQ,2
AK,3
X,1
AK,-5
U,-1
T,-1
AM,1
T,2
AP,-3
AM,1
Q,-1
X,-1
AK,5
AK,-4
AM,-2
AI,-1
T,-2
AK,2
P,1
AM,2
AN,1
AK,2
P,-2
X,2
AI,2
AP,2
AK,-5
U,1
AQ,-2
AL,-1
AK,2
N,1
AP,-3
AN,-1
AE,1
AL,2
AG,1
AL,1
AK,1
AI,-2
AP,-1
A,1
AK,-1
AK,1
AE,-1
AG,-1
AK,-3
U,-1
AP,3
AQ,-1
AA,-1
AL,-3
AB,-1
AL,3
G,-1
AA,1
AK,1
AL,-3
AQ,2
G,-1
B,-1
G,3
L,1
AK,1
AQ,-1
AM,-2
AC,1
AM,-1
AP,1
AP,-2
A,1
AI,2
AQ,1
X,-1
A,-1
AM,2
AP,1
AI,-2
AM,-2
P,2
AM,1
G,-3
AQ,-1
U,1
AQ,2
AQ,-3
AE,1
AL,1
N,-1
AP,-2
AP,1
AM,1
A,-1
AE,-1
P,-1
AI,2
AM,2
X,1
AI,-1
K,1
N,-1
Q,1
AA,5
C,1
AQ,2
N,1
AA,-4
AL,3
C,-1
N,-1
AK,-1
AA,1
C,1
N,-1
U,1
AK,3
AP,2
AL,-1
C,-1
AC,-1
U,-1
AL,-1
N,2
AK,-2
P,1
N,-1
C,1
X,1
AP,-1
AE,1
AM,-1
AP,-1
AA,-1
AQ,1
AQ,-1
AP,2
AA,-1
AK,1
AK,1
AA,1
AC,2
A,1
AK,-2
AI,1
AL,-1
AL,1
AM,1
N,-1
P,-2
N,1
AL,-1
AQ,-2
AI,-2
AK,-1
X,-3
AD,1
E,1
B,1
B,-1
C,-1
AC,-1
AL,3
AQ,-1
