159
"Runtime: 0 hours, 0 minutes and 3 seconds"
Iterations: 1
Average moves: 159.0
Least moves: 159
Moves: [159]
Heuristic is state unique enabled: True
Heuristic is exit reachable enabled: True
car,move
A,-2
B,-2
C,-1
B,1
A,1
B,1
D,-1
A,-1
G,-1
A,2
F,1
A,-1
B,-1
A,-1
B,-1
E,1
B,2
J,-2
A,1
B,-1
H,-1
A,-1
B,-1
F,1
E,1
B,1
A,1
J,1
E,-1
A,-1
J,1
E,-1
A,1
F,-2
G,1
A,-1
B,-1
G,-2
F,1
E,1
F,1
E,1
J,-1
X,-2
E,-1
F,-1
G,1
B,1
A,1
H,1
B,1
A,-1
X,1
A,2
J,1
A,-1
B,-1
A,-1
H,-1
B,-1
E,-1
F,-1
B,1
H,1
A,1
G,1
X,-1
A,-1
B,-1
G,-2
F,1
E,1
X,1
J,-2
H,-1
F,1
K,-2
G,1
B,1
A,1
I,-4
K,1
A,-1
B,-1
G,-1
I,1
J,1
G,1
B,1
A,1
J,1
E,-1
A,-1
B,-1
G,-1
K,-1
E,1
G,1
B,1
I,1
A,1
E,-1
I,1
A,-1
B,-1
I,-1
L,-3
B,1
I,-1
A,1
E,1
I,2
A,-1
B,-1
G,-1
E,-1
I,1
K,1
E,1
G,1
B,1
A,1
E,-1
K,1
A,-1
B,-1
E,2
G,-1
J,-2
E,-1
F,-1
G,1
B,1
A,1
F,1
E,1
A,-1
J,1
E,-1
B,-1
K,-2
G,-1
I,-3
J,-1
G,1
B,1
I,-1
K,2
A,1
E,1
I,1
A,-1
B,-1
G,-1
I,-1
E,-1
F,-1
H,3
X,3
