76
"Runtime: 0 hours, 0 minutes and 33 seconds"
Iterations: 100
Average moves: 132.75
Least moves: 76
"Moves: [76, 182, 138, 135]"
Heuristic is state unique enabled: True
Heuristic is exit reachable enabled: True
car,move
J,-1
A,-1
J,1
A,1
C,-1
G,-1
J,-1
H,-1
A,-1
G,-1
X,1
H,1
X,-1
I,2
H,1
L,-2
L,1
H,-1
I,-2
I,1
L,-1
J,-1
I,1
J,1
J,-2
H,1
E,2
E,1
D,-1
H,-1
D,1
I,-1
I,-1
D,-1
I,1
I,-2
H,1
E,-1
E,-1
J,3
E,2
H,-1
L,1
X,3
X,-1
I,1
L,1
I,-1
H,1
L,-1
X,1
X,-3
E,-1
X,2
X,-1
X,2
G,1
A,1
L,1
F,1
K,-1
E,1
H,-1
K,1
K,-2
I,1
K,1
D,1
K,1
D,-1
A,-1
K,-2
B,-1
I,-1
I,-1
X,1
