41
"Runtime: 0 hours, 1 minutes and 38 seconds"
Iterations: 100
Average moves: 398.48148148148147
Least moves: 41
"Moves: [284, 123, 263, 180, 244, 41, 300, 93, 167, 216, 483, 921, 1020, 147, 141, 207, 163, 658, 618, 843, 212, 113, 378, 124, 575, 573, 829, 187, 355, 274, 494, 188, 674, 331, 186, 1140, 278, 473, 1000, 595, 565, 219, 487, 351, 214, 323, 455, 355, 294, 317, 587, 683, 417, 160]"
Heuristic is state unique enabled: True
Heuristic is exit reachable enabled: True
car,move
A,-1
B,-1
X,-1
C,-1
A,-1
X,1
A,1
B,1
A,-1
B,-2
D,-1
B,1
G,-1
B,1
X,-1
B,-2
B,1
H,-1
F,2
A,1
K,-1
E,1
X,-1
L,-1
E,-1
L,1
A,-1
K,-1
L,-3
B,-1
I,-3
E,1
K,2
G,-1
X,1
G,1
F,-1
H,3
J,-2
G,-1
X,3
