101
"Runtime: 0 hours, 1 minutes and 51 seconds"
Iterations: 100
Average moves: 489.30357142857144
Least moves: 101
"Moves: [146, 557, 280, 162, 1001, 904, 671, 320, 517, 110, 567, 936, 210, 247, 357, 230, 651, 695, 1055, 1268, 235, 255, 662, 483, 320, 322, 293, 1269, 232, 160, 677, 810, 1172, 375, 133, 368, 400, 589, 581, 621, 614, 283, 437, 255, 588, 146, 413, 454, 101, 391, 770, 505, 392, 246, 260, 705]"
car,move
A,-1
X,-1
X,-1
B,-1
C,-1
A,-1
H,-1
A,1
X,1
X,1
D,-1
H,1
X,-1
D,1
C,1
A,-1
B,1
C,-1
A,2
D,-1
X,-1
A,-2
A,1
X,1
A,-1
B,-2
B,1
X,1
X,-2
G,-1
A,1
B,1
X,2
A,1
G,1
A,-2
G,-1
X,-2
B,-2
X,2
G,-1
X,-1
G,1
H,-1
G,-1
F,1
F,1
K,-1
E,1
L,-3
X,2
X,-1
K,1
F,-1
E,-1
G,1
F,-1
G,-1
F,2
X,-1
X,-1
E,2
E,-1
K,-1
L,3
E,-1
K,-1
E,1
I,-1
G,1
I,1
L,-1
I,-1
I,-2
X,1
L,-2
K,2
X,-1
B,1
K,-1
X,2
K,1
F,-1
B,-1
H,1
B,1
X,-1
B,1
A,2
X,1
A,-2
J,-1
J,-1
I,-1
L,-1
B,-1
L,1
B,-1
G,-1
H,2
X,2
