492
"Runtime: 1 hours, 19 minutes and 54 seconds"
Iterations: 100
Average moves: 6159.357142857143
Least moves: 492
"Moves: [6374, 2827, 12134, 8040, 6386, 2940, 7007, 7003, 5429, 4427, 5737, 3972, 6703, 4238, 3296, 4335, 492, 5536, 7238, 5661, 11068, 4317, 3777, 13489, 12002, 5354, 5733, 5286, 3399, 4092, 3453, 5670, 10862, 7334, 6544, 7400, 16955, 2962, 7120, 3731, 5165, 2509, 5757, 2991, 3627, 7407, 6885, 8772, 2660, 4645, 9107, 6059, 5616, 3164, 6366, 3488, 3566, 7821, 14123, 4601, 4487, 4000, 4172, 11981, 4573, 6238, 15541, 4965, 8237, 2309]"
car,move
E,1
E,-1
M,2
K,-1
M,-1
A,1
K,1
S,-4
E,1
T,-1
S,1
E,-1
S,-2
S,1
M,1
K,-1
E,1
T,1
E,-1
S,-1
T,-1
M,-2
U,-1
M,2
K,1
M,-1
S,2
E,1
S,1
S,1
U,1
B,1
S,-2
S,1
S,-2
T,1
S,-2
T,-1
M,1
G,-1
T,1
M,-2
E,-1
A,-1
R,1
B,-1
K,-1
B,1
R,-1
S,-1
M,2
A,-1
M,-1
K,1
F,-1
M,1
S,1
K,-1
M,-2
K,1
E,1
B,1
F,1
M,1
G,1
M,1
S,1
S,1
F,-1
T,-1
E,1
S,3
E,1
B,-1
E,-2
E,-1
S,-3
F,1
A,2
S,3
S,-1
T,1
S,2
S,-4
S,1
A,-1
B,-1
S,2
S,-6
M,-1
S,2
M,-1
S,-2
S,1
S,2
M,1
S,3
A,1
G,-1
M,1
T,-1
A,-1
U,-1
P,1
A,1
E,1
I,-2
A,-1
K,1
S,-2
G,1
M,-2
S,-2
I,1
B,1
S,-1
K,-2
A,1
K,1
G,-1
H,1
M,2
G,1
S,5
H,-1
K,1
S,-1
G,-1
I,1
M,-1
A,-1
S,-1
K,-1
M,-1
A,1
A,-2
E,-1
A,1
H,1
A,-1
E,1
B,1
G,1
A,2
B,-2
G,-1
I,-1
H,-1
P,-1
A,-1
M,2
B,1
S,2
P,1
B,-1
M,-1
K,1
M,1
B,1
I,1
M,-1
A,1
M,1
B,-1
G,1
K,-1
B,2
S,-2
H,1
A,-2
F,-1
G,-1
M,-1
M,-1
H,-1
K,1
J,-1
B,-1
E,-1
M,2
O,-1
K,-1
G,1
H,1
O,1
S,-3
S,4
E,1
S,-3
S,4
M,-1
K,-1
E,-1
J,1
E,1
B,1
E,1
M,1
B,-1
E,-2
J,-1
O,-1
G,-1
K,1
S,-1
O,1
M,-1
S,-1
O,-1
M,1
M,-2
O,1
G,1
O,-1
S,-1
M,2
M,-1
S,-3
K,-1
E,1
K,1
G,-1
M,1
I,-1
H,-1
S,1
M,-1
K,-1
H,1
O,1
I,1
M,-1
G,1
M,2
B,1
J,1
H,-1
P,-1
J,-1
S,1
J,1
E,1
U,1
T,1
M,-2
E,-1
M,1
B,-1
I,-1
T,-1
I,1
J,-1
M,1
S,-2
J,1
M,-1
B,1
E,2
K,1
S,1
E,-1
U,-1
S,4
U,1
S,1
U,-1
G,-1
B,-1
U,1
G,1
S,-5
E,-1
U,-1
E,2
K,-1
U,1
M,-1
U,-1
E,-2
S,1
M,2
S,-2
M,-2
K,1
E,1
P,1
M,1
G,-1
M,-1
B,1
M,1
K,-1
S,1
K,1
K,1
B,-1
K,-2
M,1
I,-1
E,-1
M,-2
M,1
H,1
G,-1
I,1
H,-1
G,2
F,1
B,1
S,2
S,-1
K,2
A,2
A,-1
M,-1
K,-2
S,-2
G,-1
K,1
M,1
M,1
K,1
B,-1
A,-1
F,-1
G,1
B,1
G,-2
K,-1
B,-1
K,-1
G,1
S,1
G,-1
E,-1
G,1
S,-1
G,-2
D,1
D,1
K,2
D,3
G,3
J,-1
S,5
S,-3
S,-1
G,-1
O,-1
D,-1
G,1
D,1
E,1
C,-1
S,5
H,-1
S,-5
E,-1
H,1
S,-1
O,1
H,-2
G,-1
H,1
S,1
J,1
G,-2
D,-1
G,3
S,5
D,1
E,3
E,-2
G,-2
H,1
H,-2
C,-1
G,3
J,-1
G,-1
S,-2
C,1
I,-1
C,-1
J,1
G,1
E,3
J,-1
I,1
C,1
S,2
O,-1
B,1
C,-1
O,1
B,-1
S,-1
I,-1
S,1
J,1
I,1
E,-1
S,-2
E,-3
S,1
G,-2
D,-1
E,2
B,1
G,2
D,-1
S,-1
D,1
E,-1
G,-2
S,2
G,2
S,-1
E,3
J,-1
S,1
J,1
F,1
S,-2
A,4
A,-2
A,3
D,1
A,-1
A,-4
B,-1
A,2
A,-1
A,4
A,-1
D,-1
I,-1
C,1
A,-1
D,1
A,2
A,-3
A,2
C,-1
A,-4
S,1
A,4
A,-1
D,-1
A,1
S,1
A,-2
B,-1
D,1
A,2
A,1
I,1
I,-2
S,-2
C,1
X,-1
A,-3
N,-3
A,-1
N,2
S,2
C,-1
N,-3
X,1
S,-2
L,1
A,4
Q,-2
Q,-1
N,-1
F,-1
E,-1
N,1
Q,1
R,-1
Q,-1
L,-1
A,-1
O,1
S,1
S,1
L,2
E,1
L,-2
J,-1
J,2
X,6
