11835
"Runtime: 0 hours, 1 minutes and 43 seconds"
Iterations: 1
Average moves: 11835.0
Least moves: 11835
Moves: [11835]
car,move
E,1
A,2
A,-1
T,-1
A,-1
A,2
J,-1
K,-3
K,1
T,1
K,-1
K,-2
S,-3
S,2
J,-1
T,-2
A,-1
K,2
U,-1
S,1
E,2
F,-1
A,-1
F,-1
T,1
U,1
T,-1
S,-1
A,1
S,-1
Q,-2
K,-1
F,1
Q,2
B,1
T,2
K,1
T,-2
S,2
F,-1
B,-1
K,-2
F,-1
F,2
A,1
T,1
F,-3
S,-1
T,1
S,-1
B,1
T,-1
S,2
S,-1
F,2
T,-1
Q,-1
F,-1
E,-1
S,1
E,-1
F,-1
U,-1
J,2
S,-1
A,-1
T,-2
F,1
A,2
S,-4
Q,-1
T,1
T,1
A,-1
Q,2
S,5
K,4
A,1
S,-1
F,-1
U,-1
J,-1
Q,-1
A,-1
U,1
A,-1
J,1
U,-1
Q,1
A,-1
B,-1
T,1
F,1
U,2
K,-2
T,1
T,-3
A,2
T,-1
A,-1
A,-1
Q,-1
S,-1
A,2
Q,-1
T,1
L,1
A,-1
B,1
K,-2
U,-2
L,1
S,-3
T,1
T,-2
A,2
T,1
M,-2
A,-2
M,-1
L,-2
U,2
Q,1
S,1
U,-1
U,-1
B,-1
F,-1
T,-1
A,1
Q,1
Q,-2
F,1
S,1
Q,1
S,-2
V,-1
Q,1
Q,-2
V,-1
R,-2
S,1
R,-1
K,1
R,3
U,6
U,-3
L,2
R,-1
M,1
R,-1
U,1
A,-2
S,2
E,-1
K,2
B,1
U,2
T,1
K,-2
S,-1
M,-1
T,-1
B,-1
U,-1
R,1
L,-1
S,-1
B,1
R,-1
U,-3
U,2
U,2
S,1
K,1
T,1
B,-1
U,-1
K,-1
U,-5
R,2
G,-4
R,-2
N,-1
G,1
U,6
U,-5
U,2
N,-1
E,1
O,-1
U,1
U,-2
E,-1
U,2
R,2
E,1
U,1
V,2
K,1
A,2
N,1
O,-2
L,1
U,1
L,-1
N,-1
O,3
O,-1
V,-2
R,-1
K,-1
R,1
N,1
U,-6
S,-1
U,1
N,-1
R,-1
N,1
B,1
U,3
A,-1
A,2
A,-3
U,2
L,-1
B,-1
U,-6
A,2
S,1
L,1
U,2
N,-1
S,-1
U,4
R,-1
L,-1
A,-1
R,-1
R,3
V,1
U,-4
U,-1
Q,2
U,4
N,1
A,1
N,-1
U,-2
N,1
U,1
U,-3
Q,-2
B,1
L,1
V,1
O,1
V,-1
B,-1
N,-1
O,-1
U,1
U,1
L,-1
O,1
Q,2
A,-1
Q,-2
V,-1
Q,2
Q,-1
U,1
V,1
Q,1
U,1
V,-1
N,1
R,-1
Q,-1
B,1
A,1
S,1
