179
"Runtime: 0 hours, 0 minutes and 4 seconds"
Iterations: 5
Average moves: 350.3333333333333
Least moves: 179
"Moves: [645, 227, 179]"
car,move
A,-1
B,-1
X,-2
B,1
A,1
C,-1
X,1
A,-1
D,-1
X,-1
B,-1
G,-1
X,1
B,1
X,1
X,-2
F,1
B,-1
X,2
A,-1
F,-1
B,1
G,1
B,-2
X,-2
H,-1
B,1
D,1
X,2
C,1
H,1
C,-1
B,-1
X,-1
C,1
B,1
X,-1
C,-1
D,-1
X,2
H,-1
X,-1
H,1
A,1
X,1
D,1
H,-1
C,1
X,-2
A,-1
B,-1
X,1
C,-1
X,1
D,-1
G,-2
F,2
K,-1
E,1
L,-2
X,-1
L,1
L,-2
J,-1
G,1
K,-1
J,-1
L,1
J,2
B,1
A,1
I,-3
K,1
A,-1
B,-1
K,-1
B,1
E,-1
B,-1
X,-1
E,1
J,-1
L,-2
B,1
I,3
X,1
I,-3
I,2
L,4
L,-2
X,-1
L,2
I,1
I,-2
L,-2
I,-1
K,1
L,-2
B,-1
X,1
J,-1
B,1
I,-1
L,4
A,1
K,-1
L,-3
I,3
J,1
L,3
I,1
L,-2
J,-1
I,-2
L,-1
L,3
J,2
L,-3
I,1
A,-1
I,-2
I,1
J,-1
X,-1
A,1
L,-1
L,2
J,1
E,-1
X,1
E,1
A,-1
L,1
J,-1
J,-1
I,-2
L,-2
I,3
L,3
I,-3
L,-4
L,2
A,1
I,1
L,-2
L,4
J,2
L,-1
J,-2
A,-1
J,1
L,-2
I,3
J,1
L,2
L,1
E,-1
L,-1
A,1
L,-2
I,-3
K,1
A,-1
K,1
A,1
X,1
F,-1
X,-1
H,2
A,-1
X,-1
F,-1
X,2
G,2
D,2
G,1
C,2
H,1
X,2
