314
"Runtime: 0 hours, 39 minutes and 16 seconds"
Runs: 250
Average moves: 4292.924
Least moves: 314
"Moves: [4760, 4625, 3694, 1495, 4290, 4142, 4336, 4548, 4741, 4375, 4350, 4223, 4624, 5206, 4860, 5119, 4664, 3871, 4433, 3854, 4340, 4745, 4005, 4126, 3961, 3157, 5066, 3856, 4777, 4263, 4776, 4867, 4741, 3811, 4078, 4744, 4182, 4970, 3995, 3775, 4012, 3789, 4787, 4923, 4931, 4626, 4580, 4160, 4928, 4101, 4811, 4559, 4033, 4675, 4619, 4493, 4003, 2520, 4051, 4826, 3319, 4249, 4963, 4890, 3784, 4707, 4231, 4719, 4521, 4542, 4562, 4583, 4341, 3763, 3670, 3768, 4383, 3807, 4977, 4808, 3601, 5054, 4464, 4812, 4129, 4474, 3643, 4561, 4217, 4591, 3803, 3822, 4473, 4274, 4625, 3970, 4831, 4844, 4533, 4495, 1390, 4748, 4726, 4168, 4287, 4363, 4480, 4154, 4696, 3730, 3873, 4393, 4187, 3677, 4687, 4869, 4564, 3895, 4897, 4403, 3852, 4158, 4779, 4154, 4220, 4906, 4866, 4313, 4247, 314, 5029, 4531, 4490, 4824, 4394, 4115, 3991, 3941, 4941, 3562, 4440, 4663, 4010, 4349, 1711, 4928, 4228, 4226, 4621, 3573, 4716, 4238, 4934, 4967, 4644, 4408, 3739, 4388, 4434, 4028, 4334, 4605, 2896, 4725, 4419, 4016, 4437, 2688, 4560, 4265, 4521, 4703, 4697, 2742, 3590, 4188, 4046, 3731, 4664, 4598, 4383, 4386, 4643, 1907, 4462, 4815, 4882, 4970, 4935, 3813, 4692, 5139, 3617, 4394, 3778, 4536, 4572, 4761, 4199, 4688, 3875, 3781, 4346, 5083, 4812, 4905, 4760, 4795, 4573, 4734, 3863, 3533, 3745, 4442, 3728, 4421, 4726, 4394, 4368, 4199, 3707, 4023, 4558, 4742, 4543, 4892, 4480, 4841, 3835, 4684, 4468, 4877, 4576, 1604, 4369, 4508, 3952, 4714, 4327, 4511, 3632, 4761, 4653, 4661, 4116, 4367, 4710, 4483, 4230, 3593]"
car,move
K,-1
K,-3
G,-4
S,-3
S,1
G,1
J,-1
S,2
T,-2
Q,-1
G,1
U,-1
K,2
K,-2
G,2
E,1
K,3
Q,1
E,-1
K,-1
G,-2
G,2
S,-1
G,-1
G,1
Q,-1
E,1
K,-2
Q,1
K,2
S,1
S,-2
Q,-1
U,-1
S,1
U,1
K,-2
S,1
U,1
A,2
S,-3
K,1
K,-1
A,-1
Q,-1
J,1
S,-1
T,-1
T,-1
Q,2
T,1
S,2
T,-1
T,-1
T,5
S,-1
T,-2
K,1
T,-1
S,2
S,-2
T,-3
T,1
T,5
T,-5
Q,-1
Q,-1
T,1
A,-1
T,-2
T,3
T,-2
U,-1
Q,2
A,2
J,-1
T,-1
Q,-2
Q,1
Q,1
Q,-2
U,-1
A,-1
Q,2
U,2
A,1
U,-2
S,2
T,-1
K,-2
S,-4
S,1
Q,-1
Q,-1
S,1
J,1
J,-1
L,2
T,2
T,-2
M,-1
K,1
J,1
T,4
A,-1
V,-2
S,1
V,2
M,-1
T,-1
K,1
V,-1
S,-1
S,1
M,1
K,-2
S,-1
S,-2
S,3
S,-1
S,1
T,-1
K,3
T,3
A,1
K,-3
J,-1
K,1
S,-2
J,1
S,1
A,-2
J,-1
S,1
S,-1
A,1
A,-1
E,-1
V,-2
G,-2
G,2
S,-1
V,2
V,-2
M,1
S,2
G,-4
G,2
V,-1
G,-1
V,1
L,-1
U,1
U,4
R,-1
U,-5
L,-1
R,-1
S,-2
V,-1
S,1
U,1
G,1
U,5
G,-1
U,-5
N,-1
S,1
G,-1
U,-1
U,2
G,2
G,-2
R,-1
N,3
G,2
J,-1
U,-2
U,1
U,1
X,-1
N,-1
U,1
U,-1
G,-2
U,3
E,2
U,-3
E,1
X,1
A,2
F,-3
E,-1
G,1
B,3
V,-2
V,2
A,1
E,1
U,1
U,2
A,-1
V,-2
B,-1
U,-1
F,1
U,2
X,-2
V,1
U,-6
A,1
H,1
K,1
A,-3
U,4
V,-2
A,1
F,-1
V,2
B,-1
U,-3
U,5
F,1
H,1
V,-2
A,-1
H,-2
V,2
U,-4
A,3
U,3
U,1
A,-2
U,-4
K,-2
H,2
C,2
K,1
K,-1
U,1
U,1
U,1
K,1
U,-1
B,1
A,4
A,-5
A,2
U,-4
U,1
U,1
U,2
D,-2
A,4
A,-1
U,-1
K,-1
A,-4
A,5
A,-3
A,1
K,2
A,-4
D,-2
A,1
F,-1
C,-2
I,-1
U,3
N,1
P,-4
O,1
K,-1
D,-2
D,1
A,2
H,1
A,-2
A,-1
D,1
A,2
K,-1
A,1
A,-1
D,1
A,1
P,2
F,1
D,-3
F,-1
F,-1
V,-1
P,-1
A,-1
B,-1
V,1
X,1
D,1
B,1
P,-1
F,2
A,-1
D,2
N,-1
U,-4
F,-1
V,1
V,1
K,2
D,-3
B,-1
D,2
F,1
X,2
