862
"Runtime: 0 hours, 27 minutes and 21 seconds"
Iterations: 50
Average moves: 12581.56
Least moves: 862
"Moves: [1917, 14583, 6418, 3116, 4328, 11849, 13307, 24263, 862, 18206, 6936, 11287, 17100, 7988, 20251, 3066, 8652, 11901, 20555, 26065, 21292, 8616, 1156, 12356, 28472, 1293, 9665, 10351, 3971, 10641, 9468, 29407, 15807, 1483, 22123, 4612, 3230, 17148, 2718, 1787, 78452, 2656, 1068, 13252, 3407, 9609, 27893, 8276, 28027, 8192]"
car,move
I,-1
H,-1
H,1
M,1
W,-1
W,1
V,1
U,1
W,-1
J,1
V,-2
V,1
K,1
Y,-1
J,-1
K,-1
G,1
V,1
T,-1
J,1
K,1
H,1
P,1
P,-1
M,-2
C,-1
K,-1
U,-1
Y,1
C,1
Y,-1
I,1
T,1
K,1
V,-1
Q,1
V,1
P,1
H,2
Y,1
U,1
G,-1
Y,-1
D,1
Y,1
Q,-1
G,1
G,-1
W,1
P,-1
Q,1
V,-2
M,2
M,-1
B,2
W,-1
N,-1
G,1
V,1
B,-2
C,-1
B,3
B,-1
M,1
M,-1
O,-2
K,1
O,-1
U,-1
M,-1
O,2
Q,-1
L,-1
M,1
A,1
B,-1
U,1
M,1
B,1
Y,-1
M,-1
V,-1
B,-1
U,1
U,-1
Q,1
B,1
U,-1
M,-1
N,-1
B,-1
U,1
Y,1
W,1
U,-1
N,1
O,-1
C,1
G,-2
L,1
U,1
J,1
U,1
J,-1
G,1
O,-1
O,1
A,-1
O,1
U,-1
K,-1
V,1
V,1
K,1
K,-1
B,2
A,3
U,-1
A,-3
P,1
M,1
P,-1
B,-2
V,-2
O,-2
O,3
M,1
B,1
U,1
V,2
B,1
B,-3
W,-1
D,-1
V,-1
U,-1
M,-2
X,1
O,-2
K,1
G,1
W,-1
V,1
C,-1
V,-1
J,-1
Y,-1
Y,1
K,-1
J,1
D,1
K,1
B,1
V,-1
L,-1
Q,-1
Q,1
O,1
V,2
V,-3
V,1
L,1
O,-1
W,1
V,1
Y,-1
A,1
W,-1
A,-1
N,-1
V,1
B,1
V,-2
O,1
Q,-1
A,1
A,1
A,-1
B,-1
A,-1
O,-1
V,2
T,-1
U,1
B,2
L,-1
V,-2
J,1
A,2
X,1
Y,1
A,-1
U,-1
V,2
N,-1
D,-1
Q,-2
N,1
T,-1
Q,2
Q,-2
P,1
T,2
N,-1
L,-1
L,2
N,1
A,1
H,-1
A,-1
L,-1
O,-1
W,2
G,2
R,-1
R,1
R,-1
G,-1
Q,-1
O,-1
G,-1
N,-1
L,1
P,-1
I,-1
U,1
I,1
V,-1
V,-1
L,-2
O,1
N,1
G,1
T,-1
V,2
U,-1
R,1
T,1
V,-2
X,-1
W,-1
N,-1
U,1
V,1
H,1
L,1
A,-1
V,-2
V,2
N,1
V,1
V,-2
J,-1
V,1
N,1
V,-2
O,2
H,-1
N,-2
G,-1
A,1
U,-1
V,1
N,2
N,-1
G,1
N,-1
L,1
U,1
Y,-1
O,-2
Y,1
K,-1
O,1
O,1
O,1
N,3
N,-1
O,-3
N,-1
A,-1
P,-3
N,1
I,-1
P,1
T,-1
G,-1
O,1
P,2
O,2
T,1
O,-2
P,-1
V,2
A,1
A,-1
W,1
V,-1
A,2
W,-1
G,1
C,1
G,-2
O,1
A,-1
G,-1
G,2
X,-1
V,-1
W,1
W,-1
A,1
U,-1
G,-1
U,2
R,-1
A,-1
X,1
X,-1
U,-2
I,1
V,2
O,-2
O,2
I,-1
R,1
V,-1
T,-1
